gene_symbol,log2FoldChange,pvalue
Tubb4b-ps2,-0.007773392,0.99999707
Rps17,-0.059857245,0.99999707
Strn3,-0.043373535,0.99999707
Gm42571,-0.00146961,0.99999707
4632427E13Rik,-0.011895392,0.99999707
Gm16103,-0.008437291,0.99999707
Rpl39,-0.010401244,0.99999707
Ms4a4a,0.105679697,0.99999707
Smpdl3a,-0.098436066,0.99999707
Gm26977,-0.28918409,0.075623666
Aicda,-0.283471394,0.032236258
Rassf2,-0.12391758,0.789603864
Cdh17,-0.01742383,0.99999707
D930048N14Rik,0.040845649,0.99999707
Usp1,0.027265946,0.99999707
C77370,0.035065164,0.99999707
Pan2,-0.006959612,0.99999707
Ap5m1,-0.020680806,0.99999707
Slc38a2,0.02109553,0.99999707
Tspyl1,0.048902339,0.99999707
5430427O19Rik,0.001600708,0.99999707
Gm23957,-0.091226832,0.99999707
RP23-144H18.6,0.049284392,0.99999707
Gm43106,-0.021825445,0.99999707
Naa25,0.013337875,0.99999707
D10Wsu102e,-0.119742061,0.994575862
Gm6216,0.024375302,0.99999707
Esco1,-0.051120063,0.99999707
Nfyb,0.020534643,0.99999707
Psmb8,-0.065203411,0.99999707
Pogk,0.129361568,0.759587253
Rps20,-0.040369536,0.99999707
Gm13270,-0.031680237,0.99999707
Ubp1,0.051545293,0.99999707
Pcsk9,0.000826902,0.99999707
Gm9379,-0.015189754,0.99999707
Kti12,-0.024023713,0.99999707
Gm6276,0.05525295,0.99999707
RP24-114J11.1,-0.045531874,0.99999707
Gm25821,0.015330551,0.99999707
Slc25a13,-0.057690794,0.99999707
Snord104,-0.005589848,0.99999707
Htra4,-0.05138541,0.99999707
Gm37050,0.09135256,0.99999707
Mir3535,0.074443861,0.99999707
Gm9022,0.031458661,0.99999707
Fpgs,-0.013663344,0.99999707
Erf,0.043552994,0.99999707
Poc1a,-0.079043235,0.99999707
Nup37,-0.193078268,0.522234412
Gm29593,0.05958874,0.99999707
Gm7656,0.139527344,0.970034459
Rnf170-ps,0.015153034,0.99999707
Fam83h,0.00000435,0.99999707
Mrpl47,0.041867508,0.99999707
Gm10552,-0.023692845,0.99999707
Nr6a1,-0.002658541,0.99999707
Gm13680,-0.073408985,0.99999707
Gm13481,0.024226538,0.99999707
Ppil6,0.011636356,0.99999707
Fmr1nb,0.024432573,0.99999707
Rbck1,-0.027557471,0.99999707
Gm16867,0.060341601,0.99999707
Mat2a,-0.010216532,0.99999707
Cdh24,0.222981294,0.172439435
Rarres1,-0.01482093,0.99999707
Gm10161,-0.030573047,0.99999707
S100a5,-0.042961495,0.99999707
Ncln,-0.014071769,0.99999707
Gm15191,-0.010825809,0.99999707
Mfsd7b,-0.291067876,0.081565591
Zfp950,0.026565272,0.99999707
Enpp3,-0.065673812,0.99999707
Tra2a,-0.00576495,0.99999707
Gm42929,0.154733801,0.86765405
Gm1821,-0.072272596,0.99999707
Tpmt,-0.092954334,0.99999707
Zc3h8,0.066110131,0.99999707
Phf11b,0.022208546,0.99999707
RP23-212C9.3,0.028253414,0.99999707
Galm,-0.01479233,0.99999707
2310022A10Rik,0.054322019,0.99999707
Atp5s,-0.016850222,0.99999707
Hykk,-0.039774117,0.99999707
Xrcc2,0.100742936,0.99999707
Agpat2,-0.10510827,0.99999707
Dynlt1-ps1,-0.053329879,0.99999707
Gm11659,0.011923286,0.99999707
44992,0.01963424,0.99999707
Rpl5,-0.044871372,0.99999707
Gm21596,0.161492334,0.748973412
Coro2b,-0.006199672,0.99999707
Smim6,-0.016033252,0.99999707
Scyl2,-0.173122988,0.541409985
Pex5,0.034881438,0.99999707
Gm26968,0.012796982,0.99999707
Gm6685,-0.003857208,0.99999707
Spsb4,0.070235254,0.99999707
Wrnip1,-0.161459954,0.299730183
Vpreb2,0.067572651,0.99999707
Stx18,0.008107832,0.99999707
Tmem110,0.080112351,0.99999707
Gm8172,-0.012533671,0.99999707
Gsto1,0.016730018,0.99999707
Ywhaz,-0.055478343,0.99999707
Eif4a1,-0.032897509,0.99999707
Evi5,-0.080684523,0.99999707
Tlr3,0.003701658,0.99999707
Zfp12,-0.01487241,0.99999707
Lin28a,0.012529255,0.99999707
Gm44916,-0.041222754,0.99999707
Msantd2,-0.111499354,0.99999707
Gm9974,0.038771284,0.99999707
Gm7721,-0.046661137,0.99999707
Vps9d1,-0.062573012,0.99999707
Mir6904,-0.050619569,0.99999707
Slc27a4,0.040725368,0.99999707
Tlr6,-0.044470736,0.99999707
Triap1,0.112299631,0.99999707
Gm29036,-0.022946316,0.99999707
Saxo2,-0.067957449,0.99999707
Ighv1-26,-0.08405233,0.667592344
2310061I04Rik,0.118736974,0.944039243
Tbc1d13,0.013394053,0.99999707
Gm15745,0.002330521,0.99999707
Gm26971,0.067379544,0.99999707
Gm43566,-0.042781431,0.99999707
Apbb1,-0.016826714,0.99999707
Gm45309,0.034944587,0.99999707
1110037F02Rik,-0.006857075,0.99999707
Mad2l1,-0.017979267,0.99999707
Gm5883,0.013261778,0.99999707
Ighv1-31,-0.202306331,0.188429568
Ints7,-0.006825529,0.99999707
Sec62,0.031044802,0.99999707
RP23-55G19.1,-0.002103031,0.99999707
Rnf208,0.100488713,0.90414719
Dll4,0.100475781,0.99999707
Slc6a19,-0.008388383,0.99999707
Rps19-ps4,0.030084038,0.99999707
Stxbp3,0.058128744,0.99999707
Anapc2,0.030154696,0.99999707
Gm25612,-0.060066282,0.99999707
Pigx,-0.02584699,0.99999707
Gm29570,0.000693332,0.99999707
Tmem199,0.038390277,0.99999707
Nol9,0.02000178,0.99999707
Kctd9,0.02280595,0.99999707
Acsf3,-0.049548869,0.99999707
A330015K06Rik,0.171946484,0.49805814
Chkb,-0.076937137,0.790935245
Gm29759,0.0330226,0.99999707
Uchl3,0.022379315,0.99999707
Med29,-0.004257216,0.99999707
Cnot6l,-0.086397562,0.99999707
4930555A03Rik,0.024149528,0.99999707
Lacc1,-0.036423628,0.99999707
Gnao1,0.005524167,0.99999707
Igkv4-91,-0.028230477,0.99999707
Mrpl35,-0.023754182,0.99999707
Mir1198,-0.000705728,0.99999707
D630014O11Rik,0.121912668,0.99999707
Rpl23a-ps2,-0.066984078,0.99999707
0610009L18Rik,-0.017778072,0.99999707
Scamp2,-0.040893678,0.99999707
Rpl17,-0.061112241,0.99999707
Soat2,0.051634744,0.99999707
Gm6210,-0.031290171,0.99999707
Gm13961,0.008833346,0.99999707
Gm12409,0.075225923,0.99999707
Zfp106,-0.001153994,0.99999707
Prpf8,0.087865778,0.99999707
Ufc1,-0.081065816,0.99999707
Gm5905,-0.036928779,0.99999707
Gpr34,-0.021689351,0.99999707
Dnajc11,-0.136093958,0.974975862
A930012O16Rik,-0.071714118,0.99999707
Gigyf2,-0.051945574,0.99999707
Cd52,0.047676961,0.99999707
Irf2,-0.036754934,0.99999707
Cadm1,-0.006612475,0.99999707
Hcfc1r1,-0.602128644,3.8E-17
Ccdc103,0.029740845,0.99999707
Rassf6,-0.007041073,0.99999707
Gm15964,-0.083285913,0.99999707
Gm5066,0.027405177,0.99999707
Gm5898,-0.005730986,0.99999707
Tbxas1,-0.103372344,0.99999707
Znhit2,-0.028090902,0.99999707
Zbtb8a,-0.121949498,0.664721406
Gm9025,-0.040767151,0.99999707
Gm29630,-0.066285313,0.99999707
Rps15a-ps7,-0.041313916,0.99999707
Fam111a,0.015918367,0.99999707
Ell,-0.111119294,0.99999707
Gm9843,0.098132473,0.979942677
Mir7061,0.06731941,0.99999707
Lekr1,0.036543692,0.99999707
Gm11469,0.03986185,0.99999707
mt-Te,0.062640904,0.99999707
Vamp3,-0.075270538,0.99999707
Prpf6,0.063604851,0.99999707
Cul2,-0.137937816,0.747020203
Lims1,-0.043894044,0.99999707
Ccl25,0.118419923,0.99999707
Rmnd1,-0.007913105,0.99999707
BC147527,-0.032888229,0.99999707
Pkd1,0.031653316,0.99999707
Lancl1,-0.063787952,0.99999707
Abhd1,0.00873179,0.99999707
Sema3f,-0.060087187,0.99999707
Apol8,-0.037445841,0.99999707
Gm45292,-0.062197545,0.99999707
Nmnat1,0.072684148,0.99999707
Dennd2c,0.052771995,0.99999707
Cdh23,0.014470404,0.99999707
Gm6641,-0.073429069,0.99999707
Scaper,-0.04698346,0.99999707
Gm5601,-0.06130229,0.99999707
Smtn,0.042139287,0.99999707
Prss22,-0.074482943,0.99999707
Ryr1,0.213212501,0.114806153
Ssna1,0.128463076,0.798634212
Emc10,0.042148856,0.99999707
Casp1,-0.009564038,0.99999707
Hba-a2,-0.022426713,0.99999707
Anp32e,-0.116560145,0.99999707
Gm25989,-0.034758461,0.99999707
Cabp1,0.096921146,0.99999707
Gm44768,0.043431225,0.99999707
Vamp1,-0.006548452,0.99999707
Gm29257,-0.038405125,0.99999707
Cfap45,0.370677953,0.002163762
Abcf2,0.086396629,0.99999707
Gm43394,-0.122641234,0.99999707
Hoxb3,0.076632861,0.99999707
Gm15445,0.062607334,0.99999707
Helz,0.002354357,0.99999707
Ifngr1,0.061797091,0.99999707
Rpl3,0.03183131,0.99999707
Nlrc5,-0.111129422,0.99999707
Vcan,-0.011415255,0.99999707
Gm37809,-0.088940375,0.99999707
Gm10087,-0.077168754,0.99999707
Gm13578,0.134470967,0.331225162
Ticrr,-0.086503705,0.99999707
Nkap,-0.051105057,0.99999707
Cd151,-0.085603695,0.99999707
Mbd1,0.048118678,0.99999707
Gm6498,0.084173136,0.99999707
Gm5215,-0.018345713,0.99999707
F13a1,0.002215706,0.99999707
Spdl1,-0.180581228,0.347355213
Gm45442,0.00810098,0.99999707
Gm10244,0.038312494,0.99999707
Espnl,-0.13726428,0.542241499
Dcaf10,0.032572704,0.99999707
Gng4,-0.070083698,0.99999707
Ighv1-53,-0.058563519,0.99999707
Zfp763,-0.152313942,0.458721399
Cwc22,-0.067669409,0.99999707
RP23-371B13.5,0.053038447,0.99999707
Gm9381,0.001709553,0.99999707
Gm10561,-0.007567074,0.99999707
Gm10822,0.022876457,0.99999707
Aox1,0.120514503,0.917132847
2700049A03Rik,0.107975863,0.911724341
